,Asymmetric Loss,Asymmetric Loss,Asymmetric Loss,Asymmetric Loss,Asymmetric Loss,Asymmetric Loss,MAE,MAE,MAE,MAE,MAE,MAE,RMSE,RMSE,RMSE,RMSE,RMSE,RMSE,RPE (%),RPE (%),RPE (%),RPE (%),RPE (%),RPE (%),R²,R²,R²,R²,R²,R²
Model,RAW Dual LSTM,RAW Single LSTM,FFT Dual LSTM,FFT Single LSTM,RAW GRU,FFT GRU,RAW Dual LSTM,RAW Single LSTM,FFT Dual LSTM,FFT Single LSTM,RAW GRU,FFT GRU,RAW Dual LSTM,RAW Single LSTM,FFT Dual LSTM,FFT Single LSTM,RAW GRU,FFT GRU,RAW Dual LSTM,RAW Single LSTM,FFT Dual LSTM,FFT Single LSTM,RAW GRU,FFT GRU,RAW Dual LSTM,RAW Single LSTM,FFT Dual LSTM,FFT Single LSTM,RAW GRU,FFT GRU
Cycle_Time_Before_Failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392252,0.013434367643005226,0.013547174783212912,0.0002809987718073374,0.0004568975555370298,0.013665676151862465,0.0003459432016779078,0.17019217091553787,0.1711230025888446,0.0035915728326756584,0.005171738782634728,0.17315898027808768,0.004231638219760477,0.33704373036620977,0.33559043884667905,0.006912556231722323,0.007069754008577282,0.33855155770682177,0.00793605839622328,262.2489419579166,261.5824218130311,3.8681592196873416,4.727988987067976,263.3236837699702,7.282986781673068,-0.34224641010892487,-0.33069615943020825,0.9994345206518639,0.9994085091913233,-0.3542828477774609,0.9992546691380633
392251,0.013461182748081085,0.013573636824790958,0.00028156076935095207,0.0004571622653429541,0.013692497378856746,0.0003465121563033629,0.170531875847505,0.1714587840311377,0.0035987559783410097,0.005175592460199998,0.17349868522874254,0.004238872216199998,0.3373799336721106,0.3359251675597754,0.006919465335127894,0.007075332206565156,0.3388892391593128,0.007943942934673142,262.7723929398685,262.1039642717397,3.875895538126716,4.736795985042113,263.84868776951106,7.297429827236414,-0.3431639610946977,-0.33160561713325487,0.9994341334575497,0.9994083530731064,-0.3552084194800229,0.9992541677258207
392250,0.013488105113577249,0.013600204714535316,0.00028212501938973156,0.00045742824459448725,0.013719425890759,0.00034708656584937563,0.17087293959919997,0.17179590859920002,0.0036059679141693486,0.005179463667535068,0.17383974899920002,0.004246166950100199,0.3377171450842953,0.336260899982497,0.006926395196990015,0.007080929296162577,0.33922793317621913,0.007951853631627093,263.2979377257482,262.6275929002832,3.883662863854425,4.745638490022156,264.3757917850501,7.311933935106627,-0.3440864451518417,-0.33251996518635263,0.9994337441775571,0.9994081949560862,-0.3561389682059293,0.9992536631221891
392249,0.01351513538434594,0.013626879088807707,0.0002826915354929238,0.00045769591472760875,0.013746462317149722,0.00034764371472897893,0.17121537033987977,0.17213438436793588,0.0036132088135953913,0.005183356646787146,0.1741821795583167,0.0042532953174698775,0.3380553696508703,0.33659764114095875,0.00693334592146558,0.007086547264757805,0.33956764482624646,0.007959772272162494,263.82558890355534,263.15332024076474,3.891461383661362,4.754517129560353,264.9050084218939,7.326476726140979,-0.3450139021704344,-0.3334392431341233,0.9994333527949885,0.9994080345089421,-0.3570745341866699,0.9992531587458938
392248,0.013542274210418922,0.013653660589081195,0.000283260331338986,0.00045796636476841835,0.013773607323566101,0.0003482171991435781,0.1715591763044177,0.17247421947710842,0.003620478851449708,0.005187282314084505,0.17452598534056232,0.004260593295975853,0.3383946124554029,0.3369353960965824,0.006940317613444612,0.0070921911318596546,0.3399083792172167,0.007967726556059826,264.3553591623978,263.6811589360273,3.899291285841766,4.763433200243573,265.43635042675714,7.341092132028589,-0.34594637247179705,-0.33436349094869855,0.9994329592927628,0.9994078708946537,-0.35801515811679097,0.9992526493978604
392247,0.013569522247059604,0.013680549861991593,0.00028383142071668557,0.00045824038597245783,0.013800861580901795,0.0003487834792479226,0.1719043657939638,0.1728154221319919,0.0036277782039727913,0.005191248609072579,0.17487117484828982,0.004267825540524192,0.3387348786172425,0.3372741699464155,0.006947310378556914,0.0070978645130552655,0.34025014149289945,0.00797569717969569,264.8872612935093,264.21112173066723,3.9071527602083838,4.772387702663419,265.96983064894374,7.355756954875416,-0.34688389681433995,-0.33529274903551265,0.9994325636536138,0.9994077035121522,-0.35896088113186053,0.9992521387002868
392246,0.01359688015481577,0.013707547559389539,0.00028440481752621424,0.0004585178100201611,0.013828225734436421,0.00034931664061784595,0.17225094717661288,0.17315800060403228,0.003635107048829303,0.005195253878989897,0.1752177562491936,0.004274732965858584,0.3390761732918445,0.3376139678234548,0.00695432432317879,0.007103566642871858,0.3405929368298246,0.007983658253939738,265.42130819127846,264.74322147205964,3.9150459981077947,4.781380679840516,266.5054620010585,7.370445625491327,-0.347826516399498,-0.33622705823918797,0.9994321658600873,0.9994075324923063,-0.35991174478640886,0.9992516315052831
392245,0.013624348599572978,0.013734654338393132,0.0002849805357803159,0.0004587982687856656,0.01385570043466399,0.0003498296609497968,0.1725989288880808,0.17350196323151515,0.0036424655651224793,0.0051992944738866375,0.17556573777696974,0.004281445380769229,0.33941850167109855,0.33795479489697267,0.0069613595544398416,0.007109295868857619,0.34093677044111115,0.007991618365440717,265.95751285429117,265.2774711113972,3.922971192435947,4.79041197676327,267.0432575000507,7.385171466838476,-0.3487742728777692,-0.337166459849523,0.9994317658945384,0.9994073581134891,-0.3608677910879923,0.9992511261973609
392244,0.013651928252608551,0.013761870861441271,0.00028555858960542806,0.0004590812450661399,0.013883286384070744,0.0003503082069418828,0.17294831943238867,0.1738473184202429,0.003649853933408732,0.0052033652537525335,0.1759151283392713,0.004287819509330627,0.33976186898366073,0.33829665637284745,0.00696841618022984,0.007115049891023184,0.34128164758207896,0.00799955487400481,266.4958883863849,265.81388370474014,3.93092853765387,4.799481291117759,267.58323032899807,7.399920496182975,-0.3497272083548484,-0.3381109956075683,0.999431363739129,0.9994071807613041,-0.3618290625455103,0.9992506270134452
392243,0.013679619790646295,0.013789197796347621,0.0002861389932428375,0.0004593662052559359,0.013910984228416138,0.00035078086196942306,0.1732991273825558,0.17419407464421904,0.0036572723357124084,0.005207460914837396,0.17626593610466534,0.004294141195325201,0.3401062804952883,0.33863955749389735,0.006975494309205675,0.007120826359155263,0.34162757353828194,0.008007504396896653,267.03644799771627,266.35247241408024,3.9389182298035736,4.808588305937106,268.12539369680536,7.4147216455654625,-0.3506853653978632,-0.33906070771181196,0.9994309593758248,0.999407000828832,-0.36279560207727135,0.9992501270863067
392242,0.013707423895911838,0.013816635816355213,0.00028672176104984937,0.0004596525095375338,0.013938794665624721,0.0003512617057290295,0.1736513613813008,0.17454224044634148,0.003664720955540743,0.005211575091853358,0.17661816991788623,0.004300551258859469,0.3404517415091794,0.3389835035402184,0.006982594050798384,0.007126622465867165,0.3419745536381561,0.008015487448803904,267.5792050058417,266.8932505084179,3.9469404665241514,4.817732599839218,268.66976098074196,7.429589347491255,-0.35164878704171176,-0.3400156388244624,0.9994305527863936,0.999406818784362,-0.36376745311563297,0.9992496225724429
392241,0.013735341256188643,0.013844185600191758,0.00028730690750097154,0.0004599400028227053,0.013966718383636606,0.0003517643428653878,0.17400503014175153,0.17489182443910387,0.0036721999778989893,0.005215706265510202,0.17697183849205705,0.004307185771632651,0.3407982573663156,0.33932849982952557,0.006989715515220258,0.007132437582331989,0.3423225932463306,0.008023522233505054,268.1241728368108,267.4362313648505,3.954995447068078,4.826914237798074,269.21634564669057,7.444537562486138,-0.3526175167955048,-0.3409758320778331,0.9994301439524014,0.9994066347326572,-0.3647446595573578,0.9992491100657304
392240,0.013763372564874742,0.013871847832125596,0.0002878944471891126,0.0004602283548750491,0.013994756076007718,0.0003522780571542283,0.17436014244816328,0.1752428353053061,0.003679709589305736,0.005219851165848668,0.1773269506114286,0.004313937623926378,0.34114583344580907,0.3396745517174984,0.006996858813472022,0.0071382703005232915,0.34267169776573375,0.008031593333976097,268.6713650262737,267.98142846967676,3.963083372317705,4.836133111495001,269.76516127045926,7.4595559358245564,-0.35359159864911893,-0.3419413310808401,0.9994297328552101,0.9994064489077547,-0.3657272657842565,0.9992485924550981
392239,0.013791518521040129,0.013899623202022348,0.00028848439482679516,0.00046051854874450425,0.014022908457701546,0.00035282448828537547,0.17471670715664622,0.17559528179877298,0.0036872499778084107,0.005224019651844261,0.17768351533660537,0.004321023233811473,0.341494475165253,0.34002166459812994,0.007004024057350111,0.007144125075699578,0.34302187263971456,0.00803972479915663,269.2207952206015,268.5288554195125,3.971204444801964,4.845390427297247,270.3162215593559,7.474666468479932,-0.35457107707985225,-0.34291217992559986,0.999429319475975,0.999406260568541,-0.3667153166839996,0.999248065243362
392238,0.013819779829484881,0.013927512405402291,0.00028907676524738405,0.00046080976388970996,0.014051176202242346,0.00035335637758694786,0.1750747331959016,0.17594917274508198,0.0036948213329989835,0.0052282035525667335,0.17804154118770496,0.004327970098767965,0.3418441879810766,0.3403698439040799,0.00701121135945401,0.007149998311931174,0.3433731233453251,0.00804786268366957,269.7724771780207,269.0785259224213,3.9793588687132604,4.854685590392312,270.8695402715677,7.489822272316644,-0.3555559970591955,-0.34388842319414126,0.9994289037956413,0.9994060703128682,-0.36770885760057825,0.9992475385234294
392237,0.013848157200797994,0.013955516143498372,0.00028967157340632933,0.0004611020663046261,0.01407956003608311,0.00035391805690231705,0.17543422956796711,0.1763045170422998,0.0037024238460298454,0.005232403559876541,0.17840103737084193,0.004335221539300408,0.3421949773889032,0.3407190951070321,0.007018420833193688,0.007155890372762742,0.34372545540428845,0.008056055619512004,270.326424769762,269.6304537990587,3.9875468499246045,4.8640188940762465,271.42513133988723,7.505068044481907,-0.35654640405971416,-0.34487010596522993,0.9994284857949416,0.9994058780798123,-0.3687079344257884,0.9992470031998367
392236,0.013876651351416922,0.013983635123315012,0.00029026883438242485,0.0004613951925254055,0.01410806067582445,0.0003544845206591898,0.17579520534897117,0.1766613236617284,0.0037100577096299066,0.0052366170723711315,0.17876201296213995,0.004342527563092781,0.34254684892391385,0.34106942371805493,0.00702565259279712,0.007161800155377452,0.34407887437629303,0.008064276407044628,270.8826519812225,270.18465298383046,3.9957685960069234,4.873390304167124,271.9830087912038,7.520379153851973,-0.3575423440620473,-0.3458572738213028,0.9994280654543929,0.9994056840518372,-0.3697125935499401,0.9992464643597168
392235,0.013905263003687884,0.014011870057687593,0.00029086856337908276,0.0004616886722998981,0.0141366788439771,0.0003550476222366396,0.17615766968989685,0.17701960164865976,0.0037177231181208777,0.005240839421694212,0.17912447711257734,0.004349806752272725,0.3428998081612133,0.34142083528796735,0.00703290675331788,0.007167725638594348,0.34443338586112826,0.008072517050230398,271.44117291314257,270.7411375260652,4.004024316246608,4.882799581655075,272.543186768093,7.535747829789682,-0.35854386356202506,-0.3468499728555281,0.9994276427542932,0.9994054885632815,-0.3707228818831254,0.999245923496107
392234,0.01393399288592691,0.014040221665342712,0.0002914707757256233,0.0004619789352500581,0.014165415269022933,0.0003555607938272302,0.17652163181735533,0.17737936012314043,0.0037254202674337576,0.005245034948447203,0.17948843904876036,0.004356593515734988,0.3432538607162015,0.34177333540770777,0.007040183430642834,0.007173650946163242,0.34478899549905706,0.008080722210035179,272.00200178279783,271.2999215912016,4.012314221663267,4.8922433903127445,273.10567953001043,7.551127887408296,-0.3595510095779002,-0.34784824967897143,0.9994272176747188,0.9994052942449252,-0.3717388468625127,0.9992453909422604
392233,0.013962841732481619,0.01406869067095913,0.000292075486878581,0.0004622781644269466,0.014194270701406572,0.00035627410206580867,0.17688710103436853,0.17774060828074534,0.0037331493551255282,0.0052493254773858895,0.17985390828074538,0.004365315286514521,0.34360901224494866,0.3421269297087079,0.007047482741499917,0.007179630456838356,0.3451457089729725,0.008089097368488533,272.56515292520527,271.8610194619909,4.020638525027715,4.901734144234556,273.6705014752071,7.566762447340677,-0.36056382965771094,-0.34885215142789616,0.9994267901955212,0.9994050920795078,-0.37276053647393415,0.999244828320354
392232,0.013991810283793824,0.014097277805229562,0.0002926827124230271,0.00046259142768616756,0.014223245865874786,0.00035696041965420936,0.1772540867211618,0.17810335539336097,0.00374091058039606,0.005253761704989603,0.18022089398257266,0.004373847023076921,0.3439652684445747,0.3424816238632704,0.007054804803465992,0.007185685806500864,0.3455035320034437,0.008097492845961023,273.13064079434463,272.42444553971285,4.028997440880162,4.911277146613421,274.2376670799275,7.582439385900637,-0.3615823718867608,-0.34986172577117824,0.9994263602963236,0.9994048784909237,-0.373787999216981,0.9992442635915445
392231,0.014020899286462834,0.014125983804923152,0.0002932924680739084,0.00046291503233748484,0.014252341493201363,0.0003575594655090173,0.17762259833596675,0.1784676108099792,0.0037487041441052185,0.00525830675020833,0.18058940540457386,0.004381513037708331,0.34432263505363325,0.34283742358495123,0.007062149734974809,0.007191800116714111,0.3458624703526494,0.008105861423438183,273.6984799643953,272.99021434540873,4.037391185548663,4.920868944835533,274.8071909408005,7.5980915179545985,-0.36260668489522874,-0.3508770209178502,0.999425927956518,0.999404656286161,-0.3748212841409324,0.9992437055644149
392230,0.01405010949330963,0.014154809412948803,0.000293904769677403,0.00046324582292593403,0.014281558368337766,0.00035824363882904186,0.17799264541583334,0.1788333839575,0.003756530248790198,0.0052629291025052165,0.1809594524991667,0.004390037282045926,0.34468111785249994,0.34319433462894605,0.007069517655325049,0.007197959512440532,0.34622252983012386,0.0081143067905556,274.26868513098776,273.5583405211284,4.045819977167762,4.930506625304918,275.3790878385938,7.613891625507736,-0.3636368178659113,-0.3518980856247762,0.9994254931552614,0.9994044277695283,-0.3758604408951318,0.9992431348850749
392229,0.014079441663441801,0.014183755378419236,0.00029451963321229296,0.0004635803957935429,0.014310897234602089,0.0003588199426230721,0.178364237577453,0.1792006843415449,0.0037643890986830647,0.0052675947700836796,0.18133104467557415,0.004397489933263596,0.3450407226637647,0.34355236279248147,0.007076908684688465,0.007204149492259539,0.3465837162824565,0.00812270190731318,274.84127111247204,274.1288388311933,4.0542840356974015,4.9401870282867275,275.95337261487487,7.629647116356082,-0.3646728205420906,-0.3529249692044527,0.9994250558714732,0.9994041953443736,-0.37690551965188956,0.9992425752521926
